Iteration,Walker,Theta_0,Theta_1,Theta_2,Theta_3,Theta_4,Theta_5,Theta_6,Theta_7,Theta_8,Outer Cost
0,0,-2.498386556467311,-5.340680016630034,-5.402353944441377,-5.960355669752218,-8.795018385247738,-5.278653920320034,-6.081076300036237,-5.932896975299042,-6.067533908601005,465.4592172841676
0,1,-6.904768872262028,-8.20487000221014,-4.918523628714906,-6.162413061531183,-9.721962752141593,-3.7651841171731597,-5.110982911740435,-3.414841169357942,-5.160582232185531,460.2242879245305
0,2,-2.2796823646108524,-5.393445322571492,-4.817777040027443,-2.415147974085881,-4.40214979091543,-6.190525952160481,1.3975669409757847,-5.780947493556537,-6.069983693157049,460.8498034224914
0,3,-7.551919416106818,-3.747317441098774,-4.203166616992521,-8.234509639399436,-5.296942492273004,-3.5581272563301263,-7.70137615166501,-4.884025645332673,-7.276593405558689,468.18205854898696
0,4,-10.328146288190844,-8.952679003400057,-5.390457237701536,-2.3003042413970407,-7.7230992498038695,-2.3391831629851256,-5.34272441933953,-5.04286834159394,-5.070097488064346,459.71237736086744
0,5,-6.938687960072189,-6.95823178852011,-3.516516513262666,-5.917333366548933,-3.0524766892123516,-4.348115789861571,-4.515233484627283,-5.1159257557767015,-5.61764682425703,463.45737633574555
0,6,-6.626847705627833,-2.3135572662893433,-6.010045337630381,-3.6086735912294046,-7.645035161423372,-5.855998659319218,-7.4347228040843625,-5.171589361360667,-2.7650104637719557,438.01605720885965
0,7,-5.721479458848066,-4.1776276890212625,-7.521611722433079,-3.783802691692679,-3.5484236251948627,-5.352254709308332,-4.9995576925251966,-5.232675380643367,-5.181258499342591,460.3965397709501
0,8,-1.8761315419665623,-5.8429592593050375,-6.297432759833232,-5.202358607348672,-4.419280775941995,-5.4635395238899145,-3.744289057545835,-6.726752770344607,-3.699258630290782,438.0032490516515
0,9,-7.524523722743716,-6.957774296848427,-6.243618508700672,-7.373725703031322,-3.4353786341886305,-7.901330970032401,-6.086681812193375,-6.1423280975906,-3.794905051286319,440.70392934342806
0,10,-3.5203154019996123,-2.649189098691321,-5.868770457086672,-6.493909848176262,-3.8446504290989036,-5.992956185093273,-6.691466226512306,-5.690121805943157,-6.746241780532376,467.32626458807897
0,11,-4.494034752198044,-4.747286691534278,-4.410689876259576,-3.994361410481522,-4.605525775014809,-4.985678734798102,-6.7823084374212605,-6.504202235068913,-6.9184126090664595,467.69062590205465
0,12,-2.043530138054208,-7.967578828701109,-3.562968846813664,-5.85375506523568,-4.719080018619226,-6.218267079948863,-7.894470385832147,-3.949443927987267,-4.2297778905339145,448.2165916990916
0,13,-4.4842333991030365,-5.799027680033682,-3.3484234309440692,-3.9461267309937424,-5.543004689575101,-4.988106060007374,-9.601934809920625,-2.7619265302631186,-5.301155262186773,461.34698560444406
0,14,-7.711650502773308,-6.733650439661485,-4.002852254658429,-4.745694508137922,-3.9663814251252614,-4.108386866308184,-3.7285954415574087,-6.138722068804384,-4.159174572924579,447.43071737221607
0,15,-5.442691684640526,-4.234702276674486,-5.955628505592869,-4.589556180766678,-5.346696966267136,-4.987135825745253,-4.457859014315077,-8.211796244904326,-3.5360138683599622,435.7705080457233
0,16,-2.6763125956355314,-9.607890343755656,-1.1356266120716998,-3.9268246117963006,-7.216490486527979,-4.777870405001319,-4.013218713312287,-3.493040373710622,-7.634826790934823,468.54756142153843
0,17,-1.2027831192404967,-4.968483838948027,-4.037110656025622,-7.163232938652724,-4.032605205038898,-6.149891513334227,-5.638044419297388,-5.3450376678285325,-4.987703758016638,458.10141275006606
0,18,-6.150522045426679,-1.9862759594885824,-8.076186914333563,-6.76078680083365,-5.290661193434125,-9.04561492904768,-4.912204277501569,-4.6105434462196,-4.364372478310729,450.03321526207895
0,19,-4.623100475813175,-6.538528781267523,-6.248981525703586,-2.375856513853072,-5.964637430887822,-5.073907901898614,-1.5853751981544728,-7.0522968875276755,-2.5087226913670206,453.86295698496133
0,20,-7.684156352989323,-4.317826031910535,-2.701893248807633,-3.580808181461867,-3.837526780079892,-4.233488678126449,-0.9553231032419527,-7.949580490985721,-5.556770055958128,462.7442159958331
0,21,-8.092120326433394,-5.070959026767541,-2.7240857019677263,-2.896681872597392,-6.998552006748902,-6.151088798096298,-0.2960171645952556,-4.746761976512483,-4.548280569514253,451.74624284318185
0,22,-3.137826092807175,-3.927752968603053,-7.076091652577764,-3.2917831336233556,-7.506456599226933,-2.918885892138185,-5.392389364021239,-3.656261837625518,-6.992281744141078,467.8046863209838
0,23,-6.902713305949596,-6.08101309287874,1.1327566896342436,-3.302327061273136,-9.16188095983545,-4.226254949291792,-3.4847691734250983,-2.823121206355353,-2.700677511440568,445.9048447875805
0,24,-2.6225151253814802,-5.764380049062088,-4.74979555744916,-3.809644591389521,-5.604428776633729,-4.945373161805006,-3.722210645585755,-5.829559974714382,-5.642132294135305,463.5005591451876
1,0,-7.4066894022535426,-5.040143139321396,-3.5850585804379116,-2.7612740739771913,-2.3814340399714675,-4.7281387014654115,-6.950482581900749,-7.274635463789326,-2.421078822034141,459.5257640534235
1,1,-7.045218708698354,-6.2870134015618495,-7.344935714792365,-4.964660328417068,-5.957033855133332,-8.384633792927513,-2.4884373805184183,-3.5126116915144983,-2.816681031925854,434.56873768088076
1,2,-5.114912220582499,-3.785039244192335,-6.385964121680497,-7.779347901368209,-6.640102381745864,-5.142479672178695,-4.0014528162632645,-5.856506633455016,-3.138740779344789,430.9060426152154
1,3,-10.524272382760481,-3.8305240055727925,-4.934855844081427,-4.833824044345657,-5.996949193998768,-5.75599171587871,-3.1180115531455117,-7.975195464934071,-2.198128153289038,510.08496423136626
1,4,-5.853231478572662,-5.042353225674592,-5.505271151754369,-6.708454644889692,-2.167376206550799,-5.064617273274694,-4.297239536553274,-5.04308744204968,-2.9435090325730044,430.4959647243805
1,5,-5.354387365687174,-3.1958220270041724,-10.997900473573914,-6.943580001425194,-9.865172206925742,-6.012616598229484,-6.109260170658726,-5.89574884307135,-5.539752506444586,462.873582486087
1,6,-9.947530272178867,-3.9693540599800174,-5.458388892360806,-6.2034687418060805,-5.467972537741611,-5.281914852163136,-5.620320639876884,-5.820777928085248,0.06256086153828289,13658.323208508342
1,7,-5.134832560938599,-3.003674947713451,-3.186137468987045,-3.700705597728862,-8.693530867516687,-2.264379526116583,-2.9509535320475315,-5.059545964287454,-5.282975956957415,461.161042479945
1,8,-7.905769110497692,-5.662060829360945,-3.379978894560507,-3.8070876564276555,-4.006593462888567,-2.9381867684037397,-6.976477893500602,-2.566954203151154,-1.895199389510098,603.9516688235951
1,9,-6.716824296967074,-2.3647044688752743,-4.756800397883336,-3.9529494042698676,-7.331959249430682,-8.281623145344492,-5.580359088984983,-4.634219451987009,-4.858736230631112,456.9821188284719
1,10,-4.712793538906979,-1.9455418717581825,-2.2568520326967803,-3.2720818500379654,-8.243593348868949,-5.187653552791435,-3.1359631432137416,-7.928220067849683,-4.879729721417521,457.08678924636536
1,11,-1.2401109903178824,-6.424180042209527,-4.0481008332989665,-4.317546650408462,-5.868641164180833,-4.226751168857397,-5.993004183557478,-6.337709407775458,-1.4613904029479516,1033.0378096210898
